team_id,date,function_calls,query_execution_ms,peak_concurrent_queries,db_bandwidth_gb,db_storage_gb
100628,2026-05-21,357,4572,0.000236,0.008,2.981
100628,2026-05-22,329,4329,0.000322,0.009,3.018
100628,2026-05-23,243,3078,0.000136,0.007,2.985
100628,2026-05-24,169,2115,9.9e-05,0.005,2.991
100628,2026-05-25,438,5380,0.000303,0.012,3.07
100628,2026-05-26,281,4035,0.000252,0.006,3.138
100628,2026-05-27,390,4949,0.000384,0.01,3.021
100628,2026-05-28,370,4648,0.000458,0.012,3.022
100628,2026-05-29,310,4499,0.000216,0.007,2.95
100628,2026-05-30,138,1562,8.4e-05,0.003,3.096
100628,2026-05-31,390,6300,0.000736,0.013,2.911
100628,2026-06-01,217,2209,0.000142,0.004,3.027
100628,2026-06-02,475,8287,0.000295,0.011,3.02
100628,2026-06-03,193,2659,0.00021,0.003,2.943
100628,2026-06-04,255,3561,0.000188,0.007,3.043
100628,2026-06-05,369,4380,0.00025,0.011,3.064
100628,2026-06-06,167,2142,0.000104,0.004,3.061
100628,2026-06-07,185,2236,8.1e-05,0.006,2.874
100628,2026-06-08,173,2190,0.000123,0.004,3.048
100628,2026-06-09,136,1832,0.000213,0.002,3.035
100628,2026-06-10,292,3235,0.000915,0.01,2.972
100628,2026-06-11,242,3821,0.000251,0.006,2.86
100628,2026-06-12,454,8568,0.000407,0.011,2.972
100628,2026-06-13,144,2012,0.000241,0.004,3.0
100628,2026-06-14,142,2009,0.000147,0.005,2.977
100628,2026-06-15,141,1565,8.6e-05,0.004,3.134
100628,2026-06-16,252,3133,0.000104,0.005,2.979
100628,2026-06-17,212,2601,0.000199,0.005,2.896
100628,2026-06-18,199,3394,0.000412,0.006,2.938
100628,2026-06-19,386,6098,0.000293,0.009,2.959
100628,2026-06-20,200,2442,0.000224,0.005,2.929
100628,2026-06-21,162,2235,0.000135,0.005,2.973
100628,2026-06-22,220,3090,0.000204,0.005,2.983
100628,2026-06-23,155,2168,0.000366,0.004,2.893
100628,2026-06-24,146,2242,0.000159,0.005,2.968
100628,2026-06-25,185,2775,0.000208,0.005,2.927
100628,2026-06-26,135,2065,0.000107,0.003,2.985
100628,2026-06-27,125,1744,8.2e-05,0.003,2.85
100628,2026-06-28,140,1706,0.000115,0.004,2.88
100628,2026-06-29,142,1549,0.000131,0.004,2.942
100628,2026-06-30,224,2822,0.000357,0.004,2.892
100628,2026-07-01,154,1689,9.1e-05,0.004,2.988
100628,2026-07-02,213,2772,0.000126,0.005,3.003
100628,2026-07-03,205,2566,0.000115,0.005,2.909
100628,2026-07-04,121,1718,0.000118,0.003,2.859
100628,2026-07-05,109,1117,9e-05,0.003,2.986
100628,2026-07-06,299,4314,0.000188,0.008,2.971
100628,2026-07-07,256,3476,0.000266,0.006,2.95
100628,2026-07-08,203,2744,9.7e-05,0.005,2.952
100628,2026-07-09,163,2023,0.000162,0.004,2.762
100628,2026-07-10,113,1273,0.000104,0.002,2.84
100628,2026-07-11,65,739,3.6e-05,0.002,2.874
100628,2026-07-12,72,949,8.9e-05,0.002,2.951
100628,2026-07-13,192,2896,0.000172,0.005,2.94
100628,2026-07-14,84,1204,8.9e-05,0.002,2.88
100628,2026-07-15,185,2563,0.0001,0.005,3.011
100628,2026-07-16,119,1445,0.000146,0.003,2.888
100628,2026-07-17,173,2267,9.8e-05,0.005,2.892
100628,2026-07-18,51,789,3.9e-05,0.002,2.908
100628,2026-07-19,105,1487,7e-05,0.002,2.876
100628,2026-07-20,230,3265,0.000172,0.008,2.887
100628,2026-07-21,172,2873,0.000347,0.005,2.842
100628,2026-07-22,134,1701,8.5e-05,0.004,2.866
100628,2026-07-23,158,1874,0.000269,0.004,2.789
100628,2026-07-24,179,2085,0.000125,0.004,2.753
100628,2026-07-25,74,833,6.4e-05,0.002,2.836
100628,2026-07-26,67,902,4.3e-05,0.002,2.916
100628,2026-07-27,156,1934,0.000212,0.004,2.901
100628,2026-07-28,83,1280,4.6e-05,0.002,2.826
100628,2026-07-29,58,754,5.5e-05,0.001,2.823
100628,2026-07-30,58,592,2.2e-05,0.002,2.754
100628,2026-07-31,104,1417,0.000488,0.002,2.856
100628,2026-08-01,104,1219,5.7e-05,0.003,2.934
100628,2026-08-02,57,735,4e-05,0.002,2.875
100628,2026-08-03,82,1143,8.2e-05,0.002,2.865
100628,2026-08-04,53,665,3e-05,0.001,2.764
100628,2026-08-05,99,1324,6.5e-05,0.002,2.813
100628,2026-08-06,153,2171,0.000125,0.003,2.865
100628,2026-08-07,118,1391,5.7e-05,0.003,2.849
100628,2026-08-08,0,0,0.0,0.0,2.905
100628,2026-08-09,56,997,7.6e-05,0.002,2.803
100628,2026-08-10,87,1252,8.4e-05,0.002,2.716
100628,2026-08-11,0,0,0.0,0.0,2.755
100628,2026-08-12,68,922,0.000114,0.002,2.833
100628,2026-08-13,78,1065,0.0001,0.002,2.789
100628,2026-08-14,57,743,5e-05,0.001,2.738
100628,2026-08-15,69,796,5e-05,0.002,2.769
100628,2026-08-16,63,850,0.000116,0.001,2.747
100628,2026-08-17,73,818,5.1e-05,0.002,2.779
100628,2026-08-18,104,1340,4e-05,0.003,2.768
101083,2026-05-21,879,8861,0.000348,0.006,6.645
101083,2026-05-22,594,7655,0.000108,0.003,6.857
101083,2026-05-23,229,2732,5.1e-05,0.002,6.972
101083,2026-05-24,546,5430,0.000167,0.003,6.839
101083,2026-05-25,966,11409,0.000385,0.005,6.917
101083,2026-05-26,430,5019,9.9e-05,0.002,6.544
101083,2026-05-27,1114,9751,0.000181,0.005,6.786
101083,2026-05-28,913,10314,0.000268,0.005,6.545
101083,2026-05-29,1235,11976,0.000229,0.009,6.424
101083,2026-05-30,334,3934,6.3e-05,0.003,6.808
101083,2026-05-31,414,4137,0.000111,0.002,6.543
101083,2026-06-01,993,11590,0.000338,0.004,6.641
101083,2026-06-02,824,10937,0.000445,0.005,6.552
101083,2026-06-03,1115,11511,0.000424,0.007,6.645
101083,2026-06-04,921,8995,0.000117,0.006,6.505
101083,2026-06-05,1155,12553,0.000165,0.008,6.632
101083,2026-06-06,211,2546,6.4e-05,0.001,6.711
101083,2026-06-07,473,4833,0.000114,0.003,6.372
101083,2026-06-08,1108,11397,0.00042,0.007,6.42
101083,2026-06-09,1366,15262,0.000355,0.008,6.437
101083,2026-06-10,2202,32943,0.001521,0.014,6.225
101083,2026-06-11,1385,14996,0.000314,0.009,6.258
101083,2026-06-12,498,5214,0.00016,0.003,6.289
101083,2026-06-13,312,4004,0.000116,0.002,6.511
101083,2026-06-14,288,3158,6.8e-05,0.001,6.121
101083,2026-06-15,1101,13615,0.000231,0.007,6.339
101083,2026-06-16,943,11017,0.000382,0.005,6.193
101083,2026-06-17,2120,22794,0.000664,0.013,6.347
101083,2026-06-18,856,10062,0.000454,0.006,5.91
101083,2026-06-19,1246,13123,0.000307,0.01,6.272
101083,2026-06-20,359,4728,0.000128,0.002,6.055
101083,2026-06-21,322,3242,6.5e-05,0.002,5.968
101083,2026-06-22,1466,15318,0.00033,0.009,5.931
101083,2026-06-23,996,10551,0.000284,0.007,5.792
101083,2026-06-24,2894,28790,0.001134,0.016,6.192
101083,2026-06-25,2102,26122,0.000397,0.014,6.06
101083,2026-06-26,1003,11938,0.000392,0.005,5.962
101083,2026-06-27,262,2648,0.000162,0.002,5.978
101083,2026-06-28,590,6045,0.000176,0.004,6.107
101083,2026-06-29,1002,14518,0.00041,0.005,5.782
101083,2026-06-30,664,7453,0.000325,0.003,5.909
101083,2026-07-01,1114,11477,0.002152,0.006,5.889
101083,2026-07-02,2188,22601,0.000273,0.018,5.643
101083,2026-07-03,1768,17750,0.000291,0.009,5.791
101083,2026-07-04,324,3935,6e-05,0.002,5.802
101083,2026-07-05,541,7690,0.000152,0.004,5.681
101083,2026-07-06,946,9759,0.000335,0.007,5.617
101083,2026-07-07,911,9180,0.000215,0.005,5.822
101083,2026-07-08,1249,13842,0.000268,0.009,5.827
101083,2026-07-09,691,8793,0.000174,0.004,5.681
101083,2026-07-10,1336,20244,0.000502,0.009,5.692
101083,2026-07-11,788,9237,0.000299,0.005,5.632
101083,2026-07-12,279,3081,7.6e-05,0.001,5.583
101083,2026-07-13,925,10078,0.000185,0.004,5.84
101083,2026-07-14,1304,14520,0.000287,0.01,5.61
101083,2026-07-15,789,7614,0.000153,0.004,5.444
101083,2026-07-16,929,11514,0.00023,0.005,5.492
101083,2026-07-17,674,6497,0.000109,0.004,5.567
101083,2026-07-18,287,3410,5.1e-05,0.001,5.457
101083,2026-07-19,479,6376,0.000271,0.002,5.6
101083,2026-07-20,1181,13098,0.00034,0.009,5.325
101083,2026-07-21,2839,25436,0.000586,0.014,5.304
101083,2026-07-22,2234,22488,0.000696,0.012,5.293
101083,2026-07-23,874,11423,0.000232,0.005,5.379
101083,2026-07-24,1393,18939,0.000382,0.009,5.291
101083,2026-07-25,611,7539,0.000115,0.003,5.212
101083,2026-07-26,684,9586,0.000595,0.005,5.241
101083,2026-07-27,1342,17456,0.00031,0.008,5.303
101083,2026-07-28,1240,12569,0.000338,0.008,5.207
101083,2026-07-29,2314,25352,0.000591,0.017,5.307
101083,2026-07-30,1069,12423,0.000205,0.009,5.254
101083,2026-07-31,1358,15306,0.000397,0.01,5.079
101083,2026-08-01,713,7738,0.000205,0.005,5.311
101083,2026-08-02,410,4303,0.000132,0.002,5.232
101083,2026-08-03,1605,14951,0.000279,0.008,5.017
101083,2026-08-04,1781,21448,0.0004,0.009,5.105
101083,2026-08-05,2056,25094,0.000592,0.01,5.082
101083,2026-08-06,2170,24039,0.000833,0.013,5.111
101083,2026-08-07,2135,19585,0.000675,0.012,4.913
101083,2026-08-08,564,5624,0.000105,0.004,5.1
101083,2026-08-09,1069,12660,0.000204,0.009,4.912
101083,2026-08-10,1070,14862,0.000173,0.005,5.012
101083,2026-08-11,1845,19641,0.000997,0.012,4.886
101083,2026-08-12,2545,30496,0.000443,0.018,4.84
101083,2026-08-13,3201,35704,0.001296,0.021,4.826
101083,2026-08-14,1924,20757,0.000373,0.011,5.002
101083,2026-08-15,606,5716,0.000712,0.004,4.955
101083,2026-08-16,679,8689,0.000145,0.005,4.89
101083,2026-08-17,1350,13838,0.00033,0.006,4.84
101083,2026-08-18,1361,16793,0.000295,0.011,4.813
101593,2026-05-21,79592,2322875,0.214712,1.038,22.564
101593,2026-05-22,83640,2325885,0.15588,0.976,22.009
101593,2026-05-23,91520,2051483,0.224035,1.194,23.32
